Erechim,Rio Grande do Sul,101122
Piraquara,Paraná,101053
Lagarto,Sergipe,100330
Assis,São Paulo,100204
Iguatu,Ceará,100053
Araxá,Minas Gerais,99986
Santo Antônio de Jesus,Bahia Bahia,99407
Guaíba,Rio Grande do Sul,98688
Itumbiara,Goiás,98484
Japeri,Rio de Janeiro,98393
Itaituba,Pará Pará,98363
Lavras,Minas Gerais,98172
Itaperuna,Rio de Janeiro,98004
Abreu e Lima,Pernambuco,97786
Leme,São Paulo,97505
Santa Cruz do Capibaribe,Pernambuco,96908
Breves,Pará Pará,96444
Valença,Bahia Bahia,96287
Barra do Piraí,Rio de Janeiro,96261
São Gonçalo do Amarante,Rio Grande do Norte,95218
Bayeux,Paraíba,95196
Senador Canedo,Goiás,95018
Itajubá,Minas Gerais,94940
Catalão,Goiás,94896
Itacoatiara,Amazonas,94278
Jataí,Goiás,93759
Itanhaém,São Paulo,93696
São Pedro da Aldeia,Rio de Janeiro,93659
Caieiras,São Paulo,93215
Paulínia,São Paulo,92668
Itabaiana,Sergipe,91873
Itapeva,São Paulo,91807
Manacapuru,Amazonas,91795
Campo Mourão,Paraná,91648
Aracruz,Espírito Santo,91562
Moji Mirim,São Paulo,90558
Tailândia,Pará Pará,90552
Tangará da Serra,Mato Grosso,90252
Itaúna,Minas Gerais,90084
Votuporanga,São Paulo,89715
Cáceres,Mato Grosso,89683
Caçapava,São Paulo,89668
Caratinga,Minas Gerais,89578
Paracatu,Minas Gerais,89530
Candeias,Bahia Bahia,89419
Pará de Minas,Minas Gerais,89418
Balsas,Maranhão,89126
Fazenda Rio Grande,Paraná,89037
Mairiporã,São Paulo,88883
São João del Rei,Minas Gerais,88405
Sarandi,Paraná,88365
Ipojuca,Pernambuco,87926
São João da Boa Vista,São Paulo,87912
Vilhena,Rondônia,87727
Nova Lima,Minas Gerais,87391
Avaré,São Paulo,87238
Patrocínio,Minas Gerais,87178
Lorena,São Paulo,86337
Timóteo,Minas Gerais,86014
Planaltina,Goiás,86014
Cachoeira do Sul,Rio Grande do Sul,85955
Cacoal,Rondônia,85863
Paranavaí,Paraná,85643
Barra do Corda,Maranhão,85022
Manhuaçu,Minas Gerais,84934
Guanambi,Bahia Bahia,84645
São Cristóvão,Sergipe,84620
Nova Serrana,Minas Gerais,84550
São Roque,São Paulo,84460
Francisco Beltrão,Paraná,84437
Ubatuba,São Paulo,84377
Jacobina,Bahia Bahia,84328
Quixadá,Ceará,83990
Ponta Porã,Mato Grosso do Sul,83747
Santana do Livramento,Rio Grande do Sul,83702
